unique_id,Painting,"On a scale of 1–10, how intense is the emotion conveyed by the artwork?",Describe how this painting makes you feel.,This art piece makes me feel sombre.,This art piece makes me feel content.,This art piece makes me feel calm.,This art piece makes me feel uneasy.,How many prominent colours do you notice in this painting?,How many objects caught your eye in the painting?,How much (in Canadian dollars) would you be willing to pay for this painting?,"If you could purchase this painting, which room would you put that painting in?","If you could view this art in person, who would you want to view it with?",What season does this art piece remind you of?,"If this painting was a food, what would be?",Imagine a soundtrack for this painting. Describe that soundtrack without naming any objects in the painting.
13,The Persistence of Memory,7,I feel shocked and discomfort.,5 - Strongly agree,1 - Strongly disagree,2 - Disagree,5 - Strongly agree,7,8,5 000 000$,"Bedroom,Office","Friends,Family members,By yourself",Fall,oreo,A very solemn soundtrack.
14,The Persistence of Memory,6,"The painting makes me feel nostalgic and sad. The sunset conveys a calming ending feeling while the clocks melting away induces a feeling of the duration and longing where time loses its meaning. While it conveys to me of the inevitable passing of my limited amount of time, it also reminds me of the greatest times and memories I have experienced in my life.",4 - Agree,3 - Neutral/Unsure,4 - Agree,4 - Agree,5,3,100000,"Living room,Dining room","Friends,Strangers,By yourself","Summer,Fall",A chocolate dessert,"Slow, calm rhythm. No intense variations in melody. Strongly harmonic."
15,The Persistence of Memory,3,It makes me feel a bit anxious or sad since it seems to symbolize time melting away.,4 - Agree,3 - Neutral/Unsure,4 - Agree,1 - Strongly disagree,3,5,5000,Office,By yourself,Summer,Scrambled eggs,It would probably be slow and a little sad but not creepy or eerie.
16,The Persistence of Memory,8,"This painting makes me feel a sense a fleeting emotions and temporality. I like the use of colour because as the sun sets, it makes me feel like there will be a tomorrow whilst grieving the today.",4 - Agree,3 - Neutral/Unsure,4 - Agree,2 - Disagree,4,4,1500000,Living room,By yourself,Fall,Banana,"The soundtrack would be calm and serene. There's a weird uneasiness to it though, that things won't last and a feeling that you'll lose it all."
17,The Persistence of Memory,8,This painting make me feel weird and little sad. Time look melting and nothing feel normal. It make me think life go fast.,4 - Agree,2 - Disagree,2 - Disagree,4 - Agree,5,6,50,Office,By yourself,Summer,Old cheese that stay too long,"The soundtrack is very slow and quiet. Sound feel empty and long. Notes stretch and feel tired, like waiting and nothing happen. Music feel lonely and strange."
18,The Persistence of Memory,9,It makes me feel lost and sad. ,5 - Strongly agree,2 - Disagree,3 - Neutral/Unsure,4 - Agree,3,5,200$,Office,By yourself,Fall,coconut,the soundtrack would be a violin piece. it would be slow but intense.
19,The Persistence of Memory,3,"Shocked, mysterious, unreal ",4 - Agree,1 - Strongly disagree,1 - Strongly disagree,4 - Agree,3,6,100,Dining room,"Strangers,By yourself",Winter,"A single soft-boiled egg, yolk just barely holding together.","Suspended, quietly unsettling. A single distant piano note drops into the air and lingers far longer than it should, as if streched."
20,The Persistence of Memory,6,Very uneasy,4 - Agree,2 - Disagree,2 - Disagree,5 - Strongly agree,4,3,$100,Office,Coworkers/Classmates,Fall,Coffee,Slow orchestral strings ensemble
21,The Persistence of Memory,7,"Perhaps the fragility of time as it passes so quickly. Seeing as the clocks are bended, one almost gets this feeling that the past also loses its importance or fades away as time moves forward. Overall, its sort of a weird feeling. ",4 - Agree,2 - Disagree,1 - Strongly disagree,4 - Agree,5,3,50,Living room,Friends,Winter,Birthday cake,The tides of history move forward and people either choose to stay caught in a specific tide or surf past it. 
22,The Persistence of Memory,5,"Ominous, it seems like the painting is trying to show how memory, even after years of time spending by, persists, and stays within ones body.",4 - Agree,2 - Disagree,3 - Neutral/Unsure,4 - Agree,8,9,50,Bedroom,Friends,Winter,rotten tomato,"An orchestral soundtrack that commences with a very slow and sombre timbre and steadily keeps on increasing intensity and frequency till it reaches a dull minor scale peak, before descending back into silence."
23,The Persistence of Memory,3,slowed down and lazy.,4 - Agree,2 - Disagree,2 - Disagree,5 - Strongly agree,5,4,50,Bathroom,By yourself,Winter,cheesecake,slowed classical
24,The Persistence of Memory,5,"This painting makes me feel a bit strange. The content in the painting goes against reality, and it feels like there are many elements of imagination and distortion.",3 - Neutral/Unsure,3 - Neutral/Unsure,3 - Neutral/Unsure,3 - Neutral/Unsure,5,4,100,Bedroom,Family members,Fall,Sandwich,"It sounds a bit strange, fairly calm, and somewhat random."
25,The Persistence of Memory,7,This painting makes me feel as though my life is becoming foggy and I am reflecting on life as it was in a better time. As if I can no longer dream and my time is running out in a bleak world where I can no longer return to the person I once was.,4 - Agree,2 - Disagree,2 - Disagree,4 - Agree,4,7,150,"Bedroom,Bathroom",By yourself,Fall,puffer fish,"A slightly joyous melody that starts off fast but slows down as the track goes on becoming sadder, with eerie background music that grows louder and faster until the end where the track abruptly stops."
26,The Persistence of Memory,4,"Uncanny, lonely, still, anxious",5 - Strongly agree,2 - Disagree,2 - Disagree,4 - Agree,3,8,100,"Bathroom,Office,Living room","Friends,Family members","Summer,Fall",Cheesecake,"A low, steady hum and a long, shaking whistle and the static of radio."
27,The Persistence of Memory,7,"Sad, uncertain, slightly disoriented.",4 - Agree,1 - Strongly disagree,2 - Disagree,5 - Strongly agree,6,5,"I don't like feeling uneasy so I wouldn't pay much, maybe $10","Bathroom,Office","Friends,Family members",Summer,Poutine,"I'd imagine a very sombre soundtrack, something that would play in a movie after a very beloved character dies."
28,The Persistence of Memory,6,Uneasy since time in this picture doesn't seem to be a rigid construct,4 - Agree,3 - Neutral/Unsure,2 - Disagree,4 - Agree,7,8,$50,"Office,Living room","Strangers,By yourself",Summer,cheese sandwich ,slow dramatic violin notes 
29,The Persistence of Memory,8,It makes me feel sad and drowsy.,4 - Agree,2 - Disagree,3 - Neutral/Unsure,4 - Agree,5,8,"$1,000",Living room,"Friends,By yourself",Fall,Mashed Potatoes.,Slow jazz.
30,The Persistence of Memory,10,This painting makes me feel sad and feel like I am running out of time,5 - Strongly agree,1 - Strongly disagree,1 - Strongly disagree,5 - Strongly agree,2,3,300,Dining room,By yourself,Fall,Soup,Slow and sad music played by a violine of a cello. Burns the Heart
31,The Persistence of Memory,5,"Old, lonely ",3 - Neutral/Unsure,2 - Disagree,3 - Neutral/Unsure,4 - Agree,5,3,1,Bathroom,"Strangers,By yourself",Fall,Bread,Slow music
32,The Persistence of Memory,4,This painting makes me feel cognizant of the connection between and relativity of space and time.,4 - Agree,2 - Disagree,2 - Disagree,4 - Agree,5,9,20,Office,By yourself,Summer,Bitter melon,"The soundtrack would be slow, contemplative, maybe even a little experimental at times."
33,The Persistence of Memory,8,"The painting makes me feel a sense of longing, almost as if time is passing as symbolized by the clocks melting. Accompanied by this, it also makes me feel a sense of urgency since I recognize that time is passing so I feel like I should be doing more with my time! ",5 - Strongly agree,2 - Disagree,2 - Disagree,3 - Neutral/Unsure,3,4,50,Office,"Friends,Strangers,By yourself","Fall,Winter",Pizza,"Slow brass instruments, trumpets, playing in minor key, lower register notes. "
34,The Persistence of Memory,7,"It makes me feel slightly uneasy but also calm at the same time. The scene feels quiet and almost frozen, like everything is happening very slowly or outside of normal time.",3 - Neutral/Unsure,1 - Strongly disagree,4 - Agree,4 - Agree,5,5,500,Office,By yourself,Winter,I can't imagine it as a food.,"The soundtrack would be very slow and minimal, with long stretches of silence between soft, drawn-out sounds."
35,The Persistence of Memory,1,"Strange, repressed",5 - Strongly agree,1 - Strongly disagree,3 - Neutral/Unsure,4 - Agree,3,5,3.14,Office,"Family members,By yourself",Fall,expired but unmelted ice cream,The sound produced by the continuous vibration of metal
36,The Persistence of Memory,7,"This picture gives me a sense of desparation, a feeling of sunset.",5 - Strongly agree,2 - Disagree,3 - Neutral/Unsure,4 - Agree,4,4,888,Office,By yourself,Fall,It would be an icecream.,"The soundtrack would be rushed piano in the beginning, slows down gradually with tickling sound, then goes to very slow and sad string ensemble."
37,The Persistence of Memory,8,Time is not very important when in the middle of nature.,4 - Agree,2 - Disagree,5 - Strongly agree,4 - Agree,5,2,20,Office,"Friends,Family members,Coworkers/Classmates,By yourself",Summer,Lobster,melancholic
38,The Persistence of Memory,8,Makes me feel like I am running out of time,4 - Agree,2 - Disagree,1 - Strongly disagree,5 - Strongly agree,6,4,"$1,000",Bathroom,"Friends,Family members",Fall,Turkey with gravy,slow Mozart song
39,The Persistence of Memory,7,"I feel anxious, worried about time, endless and a little bit peaceful.",5 - Strongly agree,2 - Disagree,2 - Disagree,5 - Strongly agree,3,5,500,Dining room,By yourself,"Fall,Winter",Sandwich.,A soothing combination of ocean waves and delicate piano.
40,The Persistence of Memory,5,Disoriented and dizzy,2 - Disagree,1 - Strongly disagree,1 - Strongly disagree,4 - Agree,3,3,10000,Office,By yourself,Fall,pancake with syrup,slow steady cello instrumental
41,The Persistence of Memory,8,The painting makes me feel tired and lethargic. ,4 - Agree,1 - Strongly disagree,4 - Agree,5 - Strongly agree,6,5,15000,"Office,Living room","Strangers,By yourself","Summer,Fall",Sandwich,"The soundtrack would be very moody and low sounding, all of it would be classical music. "
42,The Persistence of Memory,8,It makes me feel very melancholy. It almost forces me to take a step back and reflect. Just puts time in a different perspective,5 - Strongly agree,2 - Disagree,2 - Disagree,4 - Agree,4,5,100000,"Office,Living room",By yourself,"Fall,Winter",Deconstructed Big Mac at a high end restaurant,"Slow, dramatic, pensive"
43,The Persistence of Memory,4,"This painting gives me a sense that time is constantly flowing by. As time passes, the ocean gradually dries up and life perishes.",2 - Disagree,1 - Strongly disagree,4 - Agree,3 - Neutral/Unsure,4,4,400,Office,"Coworkers/Classmates,Strangers",Winter,Gummy candy,"The melody moves at a very slow pace, yet the drumbeat remains crisp and distinct, like a clock ticking precisely every second. Occasional piano accompaniment adds to the oppressive atmosphere."
44,The Persistence of Memory,8,"It makes me feel anxious, uneasy, lonely, and tired.",3 - Neutral/Unsure,1 - Strongly disagree,2 - Disagree,5 - Strongly agree,4,5,50,Bedroom,"Family members,By yourself",Summer,toast,"Slow, quiet, soft, low, and foggy."
45,The Persistence of Memory,7,,3 - Neutral/Unsure,4 - Agree,2 - Disagree,4 - Agree,5,7,20,Office,Coworkers/Classmates,Fall,icecream,Sci-fi movie themed song
46,The Persistence of Memory,6,nostalgic and melancholic,4 - Agree,3 - Neutral/Unsure,4 - Agree,4 - Agree,5,7,0,Office,By yourself,"Summer,Fall",ombre cake,The fading of summer
47,The Persistence of Memory,7,"Calm, introspective, somewhat dark",3 - Neutral/Unsure,1 - Strongly disagree,2 - Disagree,3 - Neutral/Unsure,7,5,25,Living room,"Friends,Family members",Fall,Cookie,"A breeze and leaves gently blowing, with a gentle, constant, and rhythmic hum in the background"
48,The Persistence of Memory,7,The painting makes me feel like time is passing by very slowly. The clocks are hung up on the cliff or on the tree branches in a fluid and in melting motion. The melting represent that the clocks itself had been exposed to the sun for a long time indicating the passing of long time. Since the clock is located far from the water in the abyss with no people there stands a separate between present which is the water that flows and time being on the shore.,5 - Strongly agree,2 - Disagree,5 - Strongly agree,5 - Strongly agree,4,5,1000,"Bedroom,Living room","Family members,By yourself",Fall,Cheese,The godfather
49,The Persistence of Memory,8,"time is passing too fast, sense of urgency, missing out, inevitable",4 - Agree,2 - Disagree,4 - Agree,4 - Agree,9,5,$20 ,"Office,Living room",By yourself,Fall,Noodles ,"lonely, nostalgic, depressing "
50,The Persistence of Memory,6,Slightly melancholy and pensive. The dismal foreground contrasted with the sparkling clarity and optimism of the background leads to a bittersweet feeling. ,4 - Agree,2 - Disagree,2 - Disagree,4 - Agree,4,5,"200,000,000",Living room,By yourself,Fall,Something earthy like yam. ,"Slow paced, detuned/slightly off-key electronic music with an intermittent warm pad sound that is contrastingly pure, pretty, and consoling sounding. The music would have sparse, minimal drum sounds. "
51,The Persistence of Memory,6,It makes me feel sad. Like the time is drippng. Kind of weird,4 - Agree,3 - Neutral/Unsure,2 - Disagree,4 - Agree,4,4,0,Bathroom,By yourself,Summer,noodles,"The soundtrack would be melancholic and quietly unsettling, with slow, lingering tones that feel slightly off-balance. The melody drifts without fully resolving, creating a sense of unease beneath its sadness. Subtle, irregular rhythms and faint dissonance give the music a strange, almost dreamlike quality, as if something familiar has been gently distorted."
52,The Persistence of Memory,5,"I feel confused, but I really resonate with the depiction of the dropping clocks and sock platypus. Initially I feel a very strong wave of emotion but the more I look at it, the less I feel. ",3 - Neutral/Unsure,2 - Disagree,2 - Disagree,4 - Agree,4,4,3,Bathroom,"Coworkers/Classmates,Strangers",Winter,Lasagna,Soundtrack is like <<everywhere at the end of time>> I guess
53,The Persistence of Memory,5,"Uneasy, due to the distorted face, melted watches, and impossible geometry4",2 - Disagree,2 - Disagree,2 - Disagree,4 - Agree,4,5,25,Bathroom,Friends,Winter,Meat jelly,"Something familiar, but slowed down and distorted"
54,The Persistence of Memory,7,"This painting makes me feel a little conflicted.  At the foreground of the painting the setting is quite dark.  On the other hand, the background seems kind of peaceful as opposed to the bleak foreground.  The contrast seems both unsettling and calming in a sense. ",3 - Neutral/Unsure,3 - Neutral/Unsure,4 - Agree,4 - Agree,8,7,I would pay about $1000 for this painting.  This painting is very complex and also reflective in a way. ,Office,By yourself,Spring,"If this painting was a food, I guess it would be dark chocolate.  At first time looking at this painting it seems kind of bleak and unsettling.  The same way that dark chocolate isn't always the best tasting when you first try it.  However, the more you look at it, the more you acquire a calm appreciation for it, like how dark chocolate becomes enjoyable over time. ","I would imagine it being an alternative rock playlist, something that is calm and reflective but with a strong emotional complexity.  Something that carries a relaxing melody with more uneasy and reflective lyrics. "
55,The Persistence of Memory,7,Makes me feel like I'm relaxed and it's time to sleep. ,4 - Agree,2 - Disagree,5 - Strongly agree,3 - Neutral/Unsure,3,5,$50,Bathroom,Strangers,Fall,mac and cheese,ticks and drums
56,The Persistence of Memory,9,"It makes me feel kind of uncomfortable but also interested. Everything feels off in a weird way, like things are not normal, and that makes me slightly uneasy but curious at the same time. Makes me think about my life ",4 - Agree,2 - Disagree,2 - Disagree,4 - Agree,4,7,3500000,Office,By yourself,Summer,Cottage cheese ,"Slow, quiet music with a slightly eerie haunting feeling. It feels stretched out and uncomfortable, like something is a bit off. Uncanny valley."
57,The Persistence of Memory,5,"the painting has an eerie and/or melancholic ambiance to it. The droopiness of the clocks makes me feel as though time is slipping through my fingers, that no matter how hard we try to control it (hang it, set it down or aside) it will inevitably slip through my hands. Ultimately reminding me that time is fluid and uncontrollable. The silence and calmness of the background, the still water contrasts the clocks and makes it seem like time has stopped moving. Its difficult to describe, but I the distorted nature of the objects paired with the eerie calm invokes an existential feeling, almost sad, but not quite. ",4 - Agree,2 - Disagree,5 - Strongly agree,5 - Strongly agree,5,6,$100 dollars on the higher end. ,"Office,Living room","Friends,Family members,By yourself",Summer,like an undercooked egg. ,"Something eerie to create an atmospheric tension. Maybe some deep humming in the back, with some slow metallic distortions. even more subtly, there could be some frantic sounds underneath it all, a faint skittering to emphasize the anxiety induced by the feeling of emptiness. But I'd want to, above all else, emphasize the silent calm so maybe the track could be very low volume for most of it and transition between the loud and quiet. "
58,The Persistence of Memory,6,Like I am melting.,4 - Agree,3 - Neutral/Unsure,2 - Disagree,5 - Strongly agree,6,5,3000,"Bedroom,Bathroom,Office,Living room,Dining room","Family members,By yourself",Fall,"cheese, maybe in a cheese board",a semi-constant ticking with background nature white noise
59,The Persistence of Memory,7,"Melancholic, Lonely, Abandoned, Pensiveness",5 - Strongly agree,3 - Neutral/Unsure,2 - Disagree,5 - Strongly agree,4,6,"$10,000,000",Living room,By yourself,Winter,Shepherd's Pie,"Something out of a Christopher Nolan movie. Long, steady, sombre notes."
60,The Persistence of Memory,5,"This painting confuses me. I don’t usually associate the concept of time with a shoreline, as the two ideas feel quite contrasting. The shoreline suggests something natural and constant, while the clocks are ""droopy"" and create a sense of distortion. ",4 - Agree,2 - Disagree,2 - Disagree,4 - Agree,11,12,20,Office,"Strangers,By yourself",Fall,Popeyes ,"The soundtrack will be a slow, love song. Time at the beach alone with another."
61,The Persistence of Memory,7,"The painting makes me feel desperate, like I'm running out of time or that everything is on the verge of being lost. It's unsettling and somewhat confusing. There seems to be hope on the horizon but it's far and slipping away.",4 - Agree,1 - Strongly disagree,1 - Strongly disagree,5 - Strongly agree,4,5,$10000?,"Office,Living room","Friends,By yourself","Fall,Winter",Cold spaghetti.,"Sombre music, slightly fast tempo, a feeling of dread. "
62,The Persistence of Memory,4,"It makes me feel a bit somber, calm, and nostalgic.",3 - Neutral/Unsure,4 - Agree,4 - Agree,2 - Disagree,4,6,5000,Dining room,By yourself,Fall,Pear,"It would include like an acoustic guitar and a simple, slow, calm melody. Similar to like latin music. "
63,The Persistence of Memory,7,"This painting makes me feel the fluidity of time, which in turn makes me feel a sense of existential dread. Overall, this painting makes me feel somewhat uncomfortable.",4 - Agree,2 - Disagree,2 - Disagree,5 - Strongly agree,7,4,"$80,000","Office,Dining room",By yourself,Fall,"A piece of speck that has been left outside of it's packaging for 2 days, making it more dry.","A piano composition that is very quiet, lowkey and elegant but composed in such a way that it feels uncomfortable and anxious to listen to."
64,The Persistence of Memory,5,I feel the painting illustrates the passage of time and the inevitable change it brings. This is demonstrated with the clocks melting overtime.,5 - Strongly agree,2 - Disagree,2 - Disagree,4 - Agree,3,6,200,Bedroom,"Family members,By yourself",Fall,Chocolate,"The sound track would have violin and piano, with long notes that fade out."
65,The Persistence of Memory,4,"This painting made me feel unrealistic, a little bit of conflict between chaos and peace.",2 - Disagree,2 - Disagree,3 - Neutral/Unsure,2 - Disagree,5,4,10,"Bedroom,Living room","Strangers,By yourself",Fall,A desert made of drinks like cocktail.,clock ticking with a little breeze in the background.
66,The Persistence of Memory,3,"It is odd, I feel like it is a sad picture, but I cannot understand what happened in the picture, or what the message artist would like to tell us.",4 - Agree,1 - Strongly disagree,2 - Disagree,4 - Agree,12,6,0. I feel bad when I look at this picture. I have no reason to buy it.,Bathroom,By yourself,Winter,shawarma,"The music ""Memories"", in the movie Top Gun (1986), when Goose dies.

It is not very sad, but a bit sad desolate, and the picture and the music makes me reflect on memories, and regret on past things,  that you can't go back."
67,The Persistence of Memory,8,It provokes a daunting feeling in me. The unchanged solid landscape is juxtaposed with the melting clocks. Almost like that time is moving so fast it has melted but nothing has really changed. It reminds me of my own mortality and that the natural world does not care about our measures of time. Once our time is up the world does not relent.,5 - Strongly agree,1 - Strongly disagree,3 - Neutral/Unsure,4 - Agree,3,6,500,Living room,"Friends,By yourself",Fall,beef wellington,"A slow strumming of guitar. The vocalist, if there is one, has a mournful tone to their lyrics. The distant playing of drums. And at the end all the instruments start to fade."
68,The Persistence of Memory,8,It makes me feel lonely and sad.,4 - Agree,1 - Strongly disagree,3 - Neutral/Unsure,4 - Agree,5,7,2000,Office,By yourself,Fall,Pizza,sad and dreary
69,The Persistence of Memory,8,"The painting makes me feel that time is fading, and there's no hope left for the living species on earth since the horse (is it?) is almost dying. The clock, lying like a lump of mud on the table and hanging on a tree branch like a bathrobe, makes me feel that time already lost its meaning in this space. The empty space and dark colors made me feel oppressed. At the same time, the messy lines made me feel disordered.",5 - Strongly agree,2 - Disagree,2 - Disagree,5 - Strongly agree,4,4,6000000,Living room,Friends,Fall,Crab.,"An indescribable sound of wind, accompanied by drumbeats without a fixed pattern. The deep sound of the piano is mixed with the faint sound of the violin."
70,The Persistence of Memory,8,"This picture makes me feel uneasy but also reflective. The melting clocks make time feel strange and unreliable, and the empty landscape feels sad and lonely. It's like telling us to beware that time is always ticking.",5 - Strongly agree,2 - Disagree,2 - Disagree,5 - Strongly agree,6,6,5,Bathroom,"Friends,Coworkers/Classmates,By yourself",Fall,Fried rice,"I imagine slow, echoing sounds with stretched notes and long pauses. The music would feel mellow and slightly unsettling, as if time is moving oddly and everything is suspended."
71,The Persistence of Memory,6,eerie,4 - Agree,2 - Disagree,3 - Neutral/Unsure,5 - Strongly agree,4,6,10,"Office,Living room",By yourself,Summer,octopus,"slow, soft, sombre style"
72,The Persistence of Memory,8,This painting makes me feel calm.,2 - Disagree,4 - Agree,5 - Strongly agree,2 - Disagree,4,5,I would pay 1000 dollars,"Bedroom,Bathroom,Living room,Dining room","Friends,Family members,By yourself","Spring,Summer",a pizza,A calm sountrack with a relaxing and laze inducing melody 
73,The Persistence of Memory,5,Surreal and sluggish as if everything is melting and slowing down,5 - Strongly agree,1 - Strongly disagree,1 - Strongly disagree,4 - Agree,7,7,10000000,"Bedroom,Bathroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates",Fall,melted cheese,slow and slurry bass sounds with irregular rhythm
74,The Persistence of Memory,8,"I feel a sense of quiet isolation. The vast, empty landscape and the stillness of the water create a very calm atmosphere, despite the strange objects. It makes me feel lonely, as if I am the only person left in a world where time has stopped moving.",1 - Strongly disagree,3 - Neutral/Unsure,3 - Neutral/Unsure,4 - Agree,14,10,30000000,Office,"Friends,By yourself",Fall,noodle,"A very low-pitched voice, with a hollow quality. At the same time, the sound is sluggish."
75,The Persistence of Memory,9,"weird, not sure what meaning does it want to convey, terrible, distortion.",4 - Agree,1 - Strongly disagree,1 - Strongly disagree,5 - Strongly agree,4,8,0,Living room,By yourself,Winter,Ginger,"The metallic sound mingled with coldness, distortion, dissonance, and emptiness."
76,The Persistence of Memory,9,"This painting makes me feel sad, clocks usually represent time, and it looks like the time is ending. It seems tired and sad.",5 - Strongly agree,1 - Strongly disagree,3 - Neutral/Unsure,4 - Agree,4,4,"I would pay 10,000 CAD for that painting.",Living room,"Friends,Coworkers/Classmates",Fall,Like a burnt soup.,It must be a slow pace soundtrack and deep.
77,The Persistence of Memory,7,Time is wasted,4 - Agree,2 - Disagree,4 - Agree,4 - Agree,4,4,15,Bathroom,By yourself,Fall,Apple,Instrumental
78,The Persistence of Memory,7,It makes me feel warm and sad. Because the light seems warm but the melting clocks and shadow(darkness) seems a bit cold and sad.,4 - Agree,2 - Disagree,4 - Agree,4 - Agree,5,9,"$10,000",Office,By yourself,Winter,Iced American a little while ago,"Sam Smith – Too Good at Goodbyes

 "
79,The Persistence of Memory,7,"This painting makes me feel calm and uneasy, it let me feel the time is going through anywhere. The distort clock let me rethink the meaning of time differs from people to people.",3 - Neutral/Unsure,3 - Neutral/Unsure,4 - Agree,4 - Agree,3,5,1000000$,Office,By yourself,Fall,wine.,"The soundtrack will be peaceful, but we will be able to hear the rhythm like time passing, which like going through thousands of years."
80,The Persistence of Memory,9,"sad 

tired 

feels depressing and lonely 

hopeless

running out of time 

no hope left",4 - Agree,2 - Disagree,2 - Disagree,4 - Agree,5,6,$50,"Bathroom,Office,Living room,Dining room","Strangers,By yourself","Fall,Winter",burnt toast,"very sad and melancholic 

slow tempo with violins playing sadly in background 

womp womp"
81,The Persistence of Memory,6,makes me feel uncomfortable knowing that time is passing. ,4 - Agree,2 - Disagree,3 - Neutral/Unsure,4 - Agree,3,5,200 CAD,"Office,Living room",By yourself,Summer,spaghetti,A tame impala album
82,The Persistence of Memory,6,"This painting makes me feel a little confused, but also quiet and calm. The melting clocks make time feel strange and unreal, like it doesn’t follow normal rules. The empty background feels lonely, which makes me think about time passing and how memories can fade. Overall, it feels like a dream that is slow and silent.",4 - Agree,3 - Neutral/Unsure,4 - Agree,4 - Agree,5,5,10,Office,By yourself,Fall,A piece of pizza left out too long.,"The soundtrack would be slow and very quiet, with long pauses between sounds. Soft, stretched notes would drift in and out, like they’re bending and fading before fully settling. The tempo would feel uncertain, never quite steady, making it hard to tell where one moment ends and the next begins."
83,The Persistence of Memory,8,It makes me feel uneasy and disoriented. It depresses me. ,4 - Agree,1 - Strongly disagree,1 - Strongly disagree,5 - Strongly agree,3,3,"1,000",Living room,By yourself,"Fall,Winter",A cold and tasteless soup,"A slow and calm music, yet there's sadness or darkness in it. It gives the listener uneasiness. "
84,The Persistence of Memory,5,this painting makes me feel like time is a warped concept as per the warped clocks.,3 - Neutral/Unsure,2 - Disagree,2 - Disagree,3 - Neutral/Unsure,2,5,100,Living room,Friends,Fall,carrot,smooth jazz
85,The Persistence of Memory,7,The colors chosen in this painting makes me feel dull and a little uneasy.,5 - Strongly agree,2 - Disagree,2 - Disagree,4 - Agree,1,4,2500,"Office,Living room","Coworkers/Classmates,By yourself",Fall,soup,"The soundtrack is a slow-burning, mix of soft strings and pulsing synths that creates a suspenseful, haunting mood."
